,Store Name,Number Reviews,Avg Rating,Phone Number,Licenses,Address,Medical_ID?,Adult-Use_ID?,Dispensary,In-store purchases only,Order online,Supports the Black community,State,Medical Store?,Recreational Store?
11,Zen Leaf Pilsen ,444 reviews,4.7,(618) 900-0936,Medical Retail: 280.000051-DISP | Adult-Use Retail: 284.000031-AUDO,"1301 S Western Ave, Chicago, Illinois 60608",1.0,1.0,1,0,1,0,Illinois,True,True
12,Sunnyside Cannabis Dispensary - Wrigleyville ,103 reviews,2.9,(773) 820-7280,Adult-Use Retail: 284.000008,"3524 North Clark Street, Chicago, Illinois 60657",0.0,1.0,1,0,1,1,Illinois,False,True
13,MedMen Oak Park ,26 reviews,4.3,(708) 665-3143,Adult-Use Retail: 284.000033-AUDO,"1132 Lake Street, Oak Park, Illinois 60131",0.0,1.0,1,0,1,0,Illinois,False,True
14,Star Buds Riverside ,2 reviews,5.0,(708) 853-9640,Adult-Use Retail: 284.000268-AUDO,"2704 S Harlem Ave, Riverside, Illinois 60546",0.0,1.0,1,0,1,1,Illinois,False,True
15,Zen Leaf Rogers Park ,13 reviews,3.5,(618) 900-0936,Adult-Use Retail: 284.000128-AUDO | Medical Retail: 280.000054-DISP,"7305 N. Rogers Ave., Chicago, Illinois 60626",1.0,1.0,1,0,1,0,Illinois,True,True
16,Mission South Chicago ,76 reviews,4.4,(773) 530-0088,Medical Retail: 280.000053-DISP | Adult-Use Retail: 284.000027-DISP,"8554 S Commercial Ave, Chicago, Illinois 60617",1.0,1.0,1,0,1,1,Illinois,True,True
17,Star Buds Burbank Illinois ,7 reviews,5.0,(708) 907-3441,Adult-Use Retail: 284.000285-AUDO,"7844 S Cicero Ave, Burbank, Illinois 60459",0.0,1.0,1,0,1,1,Illinois,False,True
18,Sunnyside Cannabis Dispensary - Elmwood Park ,94 reviews,3.7,(708) 402-8975,Medical Retail: DISP.000034 | Adult-Use Retail: AVDO.000010,"7955 W. Grand Ave., Elmwood Park, Illinois 60707",1.0,1.0,1,1,0,1,Illinois,True,True
19,Viola - Broadview ,1 review,5.0,(872) 328-4652,Adult-Use Retail: 284.000207-AUDO,"1516 Roosevelt Road, Broadview, Illinois 60155",0.0,1.0,1,1,0,1,Illinois,False,True
20,Zen Leaf Evanston ,4 reviews,5.0,(618) 900-0936,Adult-Use Retail: 284.000020-AUDO,"1804 Maple Ave, Evanston, Illinois 60201",0.0,1.0,1,0,1,0,Illinois,False,True
21,Sociale Dispensary ,1 review,5.0,(847) 318-3277,Adult-Use Retail: 284.000317-AUDO,"1036 W Higgins Rd, Park Ridge, Illinois 60068",0.0,1.0,1,0,1,0,Illinois,False,True
22,Namaste Cannabis & Wellness ,1 review,5.0,(708) 402-4232,Adult-Use Retail: 284.000279-AUDO,"6119A East Ave, Hodgkins, Illinois 60525",0.0,1.0,1,0,1,0,Illinois,False,True
23,Curaleaf - Justice ,27 reviews,3.4,(708) 793-8100,Adult-Use Retail: 284.000088-AUDO,"8340 South Roberts Road, Justice, Illinois 60458",0.0,1.0,1,0,1,0,Illinois,False,True
24,Verilife - Rosemont ,7 reviews,2.3,(847) 233-1593,Adult-Use Retail: AUDO.000096,"5540 Park Place, Rosemont, Illinois 60018",0.0,1.0,1,1,0,0,Illinois,False,True
25,Curaleaf - Worth ,23 reviews,2.8,(708) 586-7600,Adult-Use Retail: 284.000087-AUDO,"11425 South Harlem Avenue, Worth, Illinois 60482",0.0,1.0,1,1,0,0,Illinois,False,True
26,EarthMed - Rosemont ,7 reviews,4.3,(224) 275-9333,Adult-Use Retail: 284.000082-DISP,"10441 E Touhy Ave, Rosemont, Illinois 60018",0.0,1.0,1,1,0,0,Illinois,False,True
27,RISE Dispensaries Niles ,16 reviews,3.8,(815) 900-2227,,"9621 North Milwaukee Ave., Niles, Illinois 60714",,,1,1,0,1,Illinois,False,True
28,Curaleaf - Westmont ,3 reviews,4.3,(630) 796-0715,Adult-Use Retail: 284.000117-AUDO,"11 East Ogden Avenue, Westmont, Illinois 60559",0.0,1.0,1,1,0,0,Illinois,False,True
29,EarthMed - Addison ,111 reviews,3.9,(630) 607-0796,Medical Retail: 280.000005 | Adult-Use Retail: 284.000030-DISP,"852 South Westgate Dr., Addison, Illinois 60101",1.0,1.0,1,1,0,0,Illinois,True,True
30,BaM Body and Mind Dispensary - Markham ,3 reviews,3.7,(708) 224-7897,Adult-Use Retail: 284.000159-AUDO,"3063 W 159th St, Markham, Illinois 60428",0.0,1.0,1,1,0,0,Illinois,False,True
31,Zen Leaf Lombard ,11 reviews,4.2,(630) 716-2517,Adult-Use Retail: 284.000101-AUDO,"783 Butterfield Rd, Lombard, Illinois 60148",0.0,1.0,1,0,1,0,Illinois,False,True
32,Mission Calumet City ,46 reviews,4.0,(773) 530-0088,Adult-Use Retail: 284.000075-DISP,"1330 Torrence Ave, Calumet City, Illinois 60409",0.0,1.0,1,0,1,1,Illinois,False,True
33,HATCH - Addison ,113 reviews,4.4,(630) 519-1300,Adult-Use Retail: 280.000049-DISP,"1433 W. Fullerton Ave. Unit C, Addison, Illinois 60101",0.0,1.0,1,1,0,0,Illinois,False,True
34,Verilife - Arlington Heights (Medical & Recreational) ,16 reviews,3.2,(847) 755-2992,Medical Retail: 280.000007 | Adult-Use Retail: 284.000017-AUDO,"1816 S Arlington Heights Rd, Arlington Heights, Illinois 60005",1.0,1.0,1,1,0,0,Illinois,True,True
35,Curaleaf - Deerfield ,26 reviews,4.3,(847) 686-2821,Adult-Use Retail: 284.000121-AUDO,"677 Lake Cook Rd., Deerfield, Illinois 60015",0.0,1.0,1,0,1,0,Illinois,False,True
36,Zen Leaf Prospect Heights ,15 reviews,4.5,(224) 269-4275,Adult-Use Retail: 284.00081-AUDO,"1434 E. Rand Rd., Prospect Heights, Illinois 60070",0.0,1.0,1,0,1,0,Illinois,False,True
37,Zen Leaf Highland Park ,15 reviews,3.9,(847) 780-3942,Medical Retail: 280.000032-DISP | Adult-Use Retail: 284.000083-AUDO,"2030 Skokie Valley Rd., Highland Park, Illinois 60035",1.0,1.0,1,0,1,0,Illinois,True,True
38,Sunnyside Cannabis Dispensary – Schaumburg ,44 reviews,4.2,(847) 893-0460,Adult-Use Retail: 284.000061 AUDO,"1739 E. Golf Rd, Schaumburg, Illinois 60173",0.0,1.0,1,0,1,1,Illinois,False,True
39,Sunnyside Cannabis Dispensary - Buffalo Grove ,55 reviews,4.5,(847) 495-2397,Adult-Use Retail: 284.000009-AUDO,"830 Milwaukee Ave., Buffalo Grove, Illinois 60089",0.0,1.0,1,1,0,1,Illinois,False,True
40,Nature's Care - Rolling Meadows ,97 reviews,4.3,(847) 754-4955,Medical Retail: 280.000024-DISP,"975 Rohlwing Road, Rolling Meadows, Illinois 60008",1.0,0.0,1,1,0,0,Illinois,True,False
41,Zen Leaf Naperville ,11 reviews,4.2,(630) 634-8543,Adult-Use Retail: 284.000078-AUDO,"1516 N Naper Blvd, Naperville, Illinois 60563",0.0,1.0,1,0,1,0,Illinois,False,True
42,Verilife - Romeoville (Medical & Recreational) ,10 reviews,4.3,(630) 359-3213,Adult-Use Retail: 284.000019-AUDO | Medical Retail: 280.000030-DISP,"1335 Lakeside Dr. Unit 4, Romeoville, Illinois 60446",1.0,1.0,1,1,0,0,Illinois,True,True
43,Verilife - Schaumburg ,7 reviews,4.1,(630) 332-9601,,"150 South Barrington Road, Schaumburg, Illinois 60194",,,1,1,0,0,Illinois,False,True
44,RISE Dispensaries Naperville ,2 reviews,3.0,(630) 369-4000,Adult-Use Retail: 284.000003-AUDO | Medical Retail: 280.000027-DISP,"1700 Quincy Ave., Suite 103, Naperville, Illinois 60540",1.0,1.0,1,1,0,1,Illinois,True,True
45,Curaleaf - New Lenox ,19 reviews,4.1,(708) 258-1141,Medical Retail: 280.0000017-DISP,"709 E. Lincoln Hwy., New Lenox, Illinois 60451",1.0,0.0,1,1,0,0,Illinois,True,False
46,Zen Leaf Aurora ,21 reviews,3.8,(331) 212-8846,Adult-Use Retail: 284.000068-AUDO,"740 Illinois Route 59, Aurora, Illinois 60504",0.0,1.0,1,0,1,0,Illinois,False,True
47,Sunnyside Cannabis Dispensary – Naperville ,36 reviews,4.6,(630) 884-8061,Adult-Use Retail: AUDO.000080,"2740 W 75th St., Naperville, Illinois 60564",0.0,1.0,1,1,0,1,Illinois,False,True
48,RISE Dispensaries Mundelein ,90 reviews,3.3,(847) 616-8966,Adult-Use Retail: 284.000001-AUDO,"1325 Armour Blvd, Mundelein, Illinois 60060",0.0,1.0,1,1,0,1,Illinois,True,True
49,Zen Leaf St. Charles ,85 reviews,4.5,(630) 377-7373,Adult-Use Retail: 284.000015-AUDO | Medical Retail: 280.000020-DISP,"3691 E Main Street, St. Charles, Illinois 60174",1.0,1.0,1,0,1,0,Illinois,True,True
50,nuEra Aurora ,4 reviews,5.0,(331) 301-5606,Adult-Use Retail: 284.000072-DISP,"1415 Corporate Blvd, Aurora, Illinois 60502",0.0,1.0,1,1,0,0,Illinois,False,True
51,RISE Dispensaries Joliet (Colorado) ,58 reviews,3.3,(815) 733-1167,Adult-Use Retail: 284.000044-AUDO,"2903 Colorado Avenue, Joliet, Illinois 60431",0.0,1.0,1,1,0,1,Illinois,False,True
52,Greenlight - Park City ,3 reviews,5.0,(847) 461-1025,Adult-Use Retail: 284.000288-AUDO,"3331 Belvidere Rd, Park City, Illinois 60085",0.0,1.0,1,1,0,0,Illinois,False,True
53,Verilife - North Aurora (Medical & Recreational) ,26 reviews,3.7,(888) 493-6066,Medical Retail: 280.000006-DISP | Adult-Use Retail: 284.000016-AUDO,"161 S Lincoln Way, Suite 301, North Aurora, Illinois 60542",1.0,1.0,1,1,0,0,Illinois,True,True
54,RISE Dispensaries - Joliet (Rock Creek) ,5 reviews,4.2,(815) 773-9300,Medical Retail: 280.000011-DISP | Adult-Use Retail: 284.000002-AUDO,"1627 Rock Creek Blvd., Joliet, Illinois 60431",1.0,1.0,1,1,0,1,Illinois,True,False
55,RISE Dispensaries Lake in the Hills ,7 reviews,4.7,(847) 999-3063,Adult-Use Retail: 284.000110-AUDO,"270 Randall Rd, Lake In The Hills, Illinois 60156",0.0,1.0,1,1,0,0,Illinois,False,True
56,Ivy Hall - Crystal Lake ,1 review,5.0,+18554894255,Adult-Use Retail: 284.000313-AUDO,"501 Pingee, Crystal Lake, Illinois 60014",0.0,1.0,1,0,1,0,Illinois,False,True
57,Rolling Embers ,3 reviews,3.0,(269) 546-0420,Adult-Use Retail: CF23-01,"19279 Kinst road, New Buffalo, Michigan 49117",0.0,1.0,1,0,1,0,Michigan,False,True
58,HCC (Harbor Country Collective) ,24 reviews,5.0,(269) 820-6055,Adult-Use Retail: AU-R-000714,"6761 US 12, Three Oaks, Michigan 49128",0.0,1.0,1,0,1,0,Michigan,False,True
59,Curaleaf - Morris ,43 reviews,3.8,(815) 513-0124,Adult-Use Retail: 284.000092-AUDO,"2400 West US Route 6, Morris, Illinois 60450",0.0,1.0,1,0,1,0,Illinois,False,True
60,Nobody's Home ,21 reviews,4.6,(269) 934-5131,Adult-Use Retail: AU-R-000720,"90 W. Main St, Benton Harbor, Michigan 49022",0.0,1.0,1,0,1,0,Michigan,False,True
61,NOBO - Benton Harbor ,828 reviews,4.8,(269) 999-1041,Adult-Use Retail: AU-R-000523,"107 Water St Suite 207, Benton Harbor, Michigan 49022",0.0,1.0,1,0,1,1,Michigan,False,True
62,Bloc Dispensary - Benton Harbor ,14 reviews,4.4,(269) 256-6100,Adult-Use Retail: AU-R-000736 | Medical Retail: PC-000753,"200 E Main St, Benton Harbor, Michigan 49022",1.0,1.0,1,0,1,1,Michigan,False,True
63,Pinnacle Emporium - Buchanan ,114 reviews,4.5,(269) 409-8571,Medical Retail: PC-000566,"221 East Front Street, Buchanan, Michigan 49107",1.0,0.0,1,1,0,0,Michigan,True,False
64,7ENGINES - Buchanan ,140 reviews,4.6,(269) 695-2122,Adult-Use Retail: AU-R-000521,"1101 E Front St, Buchanan, Michigan 49107",0.0,1.0,1,0,1,0,Michigan,False,True
65,Firefly Cannabis ,5 reviews,4.2,(269) 247-2221,Microbusiness: AU-MB-A-000008,"919 Michigan St, Niles, Michigan 49120",0.0,0.0,1,0,1,0,Michigan,False,True
66,Primitiv - Niles ,194 reviews,4.5,(269) 340-5318,Adult-Use Retail: AU-R-000462,"1286 S. 11th St., Niles, Michigan 49120",0.0,1.0,1,0,1,1,Michigan,False,True
67,Verilife - Ottawa (Medical & Recreational) ,13 reviews,4.0,(888) 493-6066,Medical Retail: 280.000008-DISP | Adult-Use Retail: 284.000018-AUDO,"4104 North Columbus Street, Ottawa, Illinois 61350",1.0,1.0,1,1,0,0,Illinois,True,True
68,The Green Door Watervliet ,53 reviews,4.8,(269) 201-7051,Adult-Use Retail: AU-R-000754,"3801 N M-140, Watervliet, Michigan 49098",0.0,1.0,1,0,1,0,Michigan,False,True
69,Sunnyside Cannabis Dispensary - Rockford ,91 reviews,3.2,(815) 315-0090,Adult-Use Retail: AVDO.000007,"2696 N. McFarland Rd, Rockford, Illinois 61107",0.0,1.0,1,0,1,1,Illinois,False,True
70,Mapleglen Care Center ,0,,(779) 368-5154,,"4777 Stenstrom Road, Rockford, Illinois 61109",,,1,1,0,0,Illinois,True,False
71,Med Leaf ,0,,(269) 308-3111,Medical Retail: PC-000350 | Adult-Use Retail: AU-R-000262,"301 West Main St., Hartford, Michigan 49057",1.0,1.0,1,1,0,0,Michigan,True,True
72,NOBO - Edwardsburg ,989 reviews,4.8,(269) 635-6621,Adult-Use Retail: AU-R-000369,"69411 M62, Edwardsburg, Michigan 49112",0.0,1.0,1,0,1,1,Michigan,False,True
73,Dr. A's Re-Leaf Center - Edwardsburg ,243 reviews,4.4,(269) 414-4661,Adult-Use Retail: AU-R-000327,"26324 US HIGHWAY 12, Edwardsburg, Michigan 49112",0.0,1.0,1,0,1,0,Michigan,False,True
74,Sunnyside Cannabis Dispensary – South Beloit ,53 reviews,3.3,(779) 771-6660,Adult-Use Retail: AUDO.000059,"7000 First Ranger Drive, South Beloit, Illinois 61080",0.0,1.0,1,0,1,1,Illinois,False,True
75,Curaleaf - Bangor ,149 reviews,4.4,(269) 841-4920,Medical Retail: PC-000191 | Adult-Use Retail: AU-R-000169,"133 W. Monroe St., Bangor, Michigan 49013",1.0,1.0,1,1,0,0,Michigan,True,True
76,The Green Door Bangor ,24 reviews,4.4,(269) 427-1435,Adult-Use Retail: AU-R-000165,"126 W Monroe, Bangor, Michigan 49013",0.0,1.0,1,0,1,0,Michigan,False,True
77,True Leaf - Lawrence ,31 reviews,3.8,(269) 539-9265,Adult-Use Retail: AU-R-000526,"265 Crandall Parkway, Lawrence, Michigan 49064",0.0,1.0,1,0,1,1,Michigan,False,True
78,BE Provisions ,67 reviews,4.7,(269) 233-4059,Adult-Use Retail: AU-R-000426,"901 East State St., Cassopolis, Michigan 49031",0.0,1.0,1,1,0,0,Michigan,False,True
79,Breedsville Provision Center ,338 reviews,4.5,(269) 427-2200,Adult-Use Retail: AU-R-000149,"77 East Main Street, Breedsville, Michigan 49027",0.0,1.0,1,0,1,0,Michigan,False,True
80,Sun Provisions ,64 reviews,4.9,(269) 436-8221,Adult-Use Retail: AU-R-000721,"107 W. Delaware Street, Decatur, Michigan 49045",0.0,1.0,1,0,1,1,Michigan,False,True
81,Green Decatur ,74 reviews,4.9,(269) 823-7400,Adult-Use Retail: AU-R-000483,"100 E Sherwood Street, Decatur, Michigan 49045",0.0,1.0,1,0,1,1,Michigan,False,True
82,JARS Cannabis - Saugatuck ,390 reviews,4.9,(269) 346-0420,Adult-Use Retail: AU-R-000678 | Medical Retail: PC-000777,"2790 Bluestar Hwy Fennville, Fennville, Michigan 49408",1.0,1.0,1,0,1,0,Michigan,False,True
83,White Flower Cannabis Co ,223 reviews,4.9,(269) 913-4770,Adult-Use Retail: AU-R-000571,"39530 W. Red Arrow Hwy, Paw Paw, Michigan 49079",0.0,1.0,1,0,1,0,Michigan,False,True
84,The Dude Abides - Constantine ,61 reviews,4.5,(269) 241-9333,Adult-Use Retail: AU-R-000381,"160 N. Washington St., Constantine, Michigan 49042",0.0,1.0,1,0,1,0,Michigan,False,True
85,Atlas Cannabis Co. ,16 reviews,5.0,(269) 435-1123,Adult-Use Retail: AU-R-000762,"135 S Washington St, Constantine, Michigan 49042",0.0,1.0,1,0,1,1,Michigan,False,True
86,The Green Door Allegan ,14 reviews,4.6,(269) 355-1155,Adult-Use Retail: AU-R-000548,"500 Linn St, Allegan, Michigan 49010",0.0,1.0,1,0,1,0,Michigan,False,True
87,Timber Cannabis Co - Allegan ,32 reviews,4.7,(269) 355-1286,Adult-Use Retail: AU-R-000509,"133 Marshall St, Allegan, Michigan 49010",0.0,1.0,1,1,0,0,Michigan,False,True
88,Joyology Three Rivers ,1 review,5.0,(269) 718-3230,Adult-Use Retail: AU-R-001049,"1320 Millard Rd, Three Rivers, Michigan 49093",0.0,1.0,1,0,1,0,Michigan,False,True
89,Joyology - Allegan ,4 reviews,5.0,(269) 288-5995,Adult-Use Retail: AU-R-000870,"400 Water ST, Allegan, Michigan 49010",0.0,1.0,1,0,1,0,Michigan,False,True
90,Confluence Cannabis ,34 reviews,4.8,(269) 528-8770,Adult-Use Retail: AU-R-000734,"104 US 131 HWY, Three Rivers, Michigan 49093",0.0,1.0,1,0,1,0,Michigan,False,True
91,The Goat Cannabis Company ,51 reviews,4.7,(208) 843-4628,Adult-Use Retail: AU-R-000819,"752 US HWY 131, Ste 752, Three Rivers, Michigan 49093",0.0,1.0,1,0,1,0,Michigan,False,True
92,Timber Cannabis Co - Three Rivers ,36 reviews,4.4,(269) 528-3193,Adult-Use Retail: AU-R-000873,"691 S US HWY 131, Three Rivers, Michigan 49093",0.0,1.0,1,0,1,0,Michigan,False,True
93,Harbor Farmz Provisioning LLC ,164 reviews,4.7,(269) 256-6256,Adult-Use Retail: AU-R-000679,"503 S US Highway 131, Three Rivers, Michigan 49093",0.0,1.0,1,1,0,1,Michigan,False,True
94,Green Pharm Allegan - Now Open! ,7 reviews,5.0,(269) 206-5020,Adult-Use Retail: AU-R-001056,"633 Hooker Road, Allegan, Michigan 49010",0.0,1.0,1,0,1,0,Michigan,False,True
95,GAGE Kalamazoo ,196 reviews,4.8,(269) 993-3444,Medical Retail: PC-000727 | Adult-Use Retail: AU-R-000614,"3825 Stadium Drive, Kalamazoo, Michigan 49008",1.0,1.0,1,0,1,0,Michigan,True,True
96,Nirvana Center - Kalamazoo (formerly Compassionate Care by Design) ,692 reviews,4.5,(269) 762-8038,Adult-Use Retail: AU-R-000950,"401 N. Sage St., Kalamazoo, Michigan 49006",0.0,1.0,1,0,1,1,Michigan,False,True
97,Herbana ,34 reviews,4.2,(269) 443-2170,Adult-Use Retail: AU-R-000517,"2705 W Michigan Ave, Kalamazoo, Michigan 49006",0.0,1.0,1,0,1,0,Michigan,False,True
98,Green Eden ,41 reviews,4.3,(269) 250-4650,Adult-Use Retail: AU-R-000613,"7215 S Westnedge Ave, Portage, Michigan 49002",0.0,1.0,1,0,1,1,Michigan,False,True
99,Mint Cannabis - Portage ,128 reviews,4.6,(269) 459-1204,Adult-Use Retail: AU-R-000702,"5747 S Westnedge, Portage, Michigan 49002",0.0,1.0,1,1,0,1,Michigan,False,True
100,Pincanna - Kalamazoo NOW OPEN! ,120 reviews,5.0,(269) 359-7429,Adult-Use Retail: AU-R-000738 ,"123 E. South Street, Kalamazoo, Michigan 49007",0.0,1.0,1,0,1,1,Michigan,False,True
101,The Mint Cannabis - Kalamazoo ,396 reviews,4.7,(269) 743-7444,Adult-Use Retail: AU-R-000311,"730 East Cork Street, Kalamazoo, Michigan 49001",0.0,1.0,1,0,1,1,Michigan,False,True
102,Bud & Mary's ,921 reviews,4.7,(269) 443-7096,Adult-Use Retail: AU-R-000761,"2401 E. Milham, Portage, Michigan 49002",0.0,1.0,1,0,1,1,Michigan,False,True
103,Cookies Kalamazoo ,132 reviews,4.3,(269) 359-0420,Medical Retail: PC-000746 | Adult-Use Retail: AU-R-000601,"2712 Portage Rd, Kalamazoo, Michigan 49001",1.0,1.0,1,0,1,0,Michigan,True,True
104,Cannamazoo 24hr Recreational Weed Dispensary ,83 reviews,4.5,(866) 226-6262,Adult-Use Retail: AU-R-000248,"2233 N Burdick Street, Kalamazoo, Michigan 49007",0.0,1.0,1,0,1,1,Michigan,False,True
105,STIIIZY Kalamazoo ,339 reviews,4.5,(269) 218-2795,Adult-Use Retail: AU-R-000608,"5303 Portage Rd, Portage, Michigan 49002",0.0,1.0,1,0,1,0,Michigan,False,True
106,Urban Gardens ,86 reviews,4.5,(269) 888-7088,Adult-Use Retail: AU-R-000673,"617 Portage Street, Kalamazoo, Michigan 49007",0.0,1.0,1,1,0,1,Michigan,False,True
107,PUFF Kalamazoo - RECREATIONAL 21+ ,611 reviews,5.0,(269) 888-2026,Adult-Use Retail: AU-R-001009,"4305 Portage, Kalamazoo, Michigan 49091",0.0,1.0,1,0,1,1,Michigan,False,True
108,True Leaf - Kalamazoo ,13 reviews,3.7,(269) 888-2088,Adult-Use Retail: AU-R-000737,"525 E Kalamazoo Ave, Kalamazoo, Michigan 49007",0.0,1.0,1,0,1,1,Michigan,False,True
109,Dispo Portage ,776 reviews,4.8,(269) 443-2465,Adult-Use Retail: AU-R-000482,"9017 S Sprinkle Rd, Portage, Michigan 49002",0.0,1.0,1,1,0,1,Michigan,False,True
110,Cloud Cannabis - Kalamazoo - REC 21+ ,568 reviews,4.8,(269) 216-9544,Adult-Use Retail: AU-R-000556,"521 E Mosel Avenue, Kalamazoo, Michigan 49004",0.0,1.0,1,0,1,1,Michigan,False,True
111,Lume - Portage ,46 reviews,4.9,(269) 230-3459,Adult-Use Retail: AU-R-000769,"5324 Meredith St, Portage, Michigan 49002",0.0,1.0,1,1,0,0,Michigan,False,True
112,The Refinery ,844 reviews,4.7,(269) 203-2564,Adult-Use Retail: AU-R-000250,"3650 Alvan Rd, Kalamazoo, Michigan 49001",0.0,1.0,1,0,1,1,Michigan,False,True
113,Curaleaf - Kalamazoo ,204 reviews,4.6,(269) 201-2955,Medical Retail: PC-000354 | Adult-Use Cultivation: AU-R-000201,"1986 S. Sprinkle Rd, Kalamazoo, Michigan 49048",1.0,1.0,1,1,0,0,Michigan,True,True
114,Exclusive Kalamazoo - Recreational ,84 reviews,4.9,(269) 447-1779,Adult-Use Retail: AU-R-000289,"937 Foster Ave, Kalamazoo, Michigan 49048",0.0,1.0,1,0,1,0,Michigan,False,True
115,Timber Cannabis Co - Sturgis ,50 reviews,4.4,(269) 503-7009,Adult-Use Retail: AU-R-000637,"618 North Centerville Street, Sturgis, Michigan 49091",0.0,1.0,1,0,1,1,Michigan,False,True
116,Levels Cannabis ,36 reviews,4.2,(269) 625-9010,Adult-Use Retail: AU-R-000782,"1139 S Centerville Rd, Sturgis, Michigan 49091",0.0,1.0,1,0,1,1,Michigan,False,True
117,The Dude Abides - Sturgis ,82 reviews,4.8,(269) 241-3833,Adult-Use Retail: AU-R-000744 | Medical Retail: PC-000817,"1394 S. Centerville Road, Sturgis, Michigan 49091",1.0,1.0,1,0,1,0,Michigan,False,True
118,PUFF Sturgis - RECREATIONAL 21+ ,872 reviews,5.0,(269) 319-6028,Adult-Use Retail: AU-R-000767,"651 Wade St, Sturgis, Michigan 49091",0.0,1.0,1,0,1,1,Michigan,False,True
119,THE REEF MUSKEGON ,15 reviews,4.2,(231) 283-6500,Adult-Use Retail: AU-R-000503,"525 W Norton Ave, Muskegon Heights, Michigan 49444",0.0,1.0,1,0,1,0,Michigan,False,True
120,JARS Cannabis - Wayland ,0,,(269) 443-0215,Adult-Use Retail: AU-R-001071,"142 S Main St, Wayland, Michigan 49348",0.0,1.0,1,0,1,1,Michigan,False,True
121,Beyond Hello - Normal ,"1,239 reviews",4.5,(309) 434-5141,Adult-Use Retail: AUDO.284000051,"501 West Northtown Road, Normal, Illinois 61761",0.0,1.0,1,1,0,0,Illinois,False,True
122,Timber Cannabis Co - Muskegon ,23 reviews,4.8,(231) 246-8085,Adult-Use Retail: AU-R-000301,"313 W Laketon Ave, Muskegon, Michigan 49441",0.0,1.0,1,1,0,0,Michigan,False,True
123,Levels Cannabis - Recreational ,26 reviews,4.4,(231) 220-0019,Adult-Use Retail: AU-R-000486,"1840 6th St Bldg A, Muskegon, Michigan 49441",0.0,1.0,1,1,0,1,Michigan,False,True
124,Sticky Muskegon ,292 reviews,5.0,(231) 760-6360,Adult-Use Retail: AU-R-000681,"1965 Peck St, Muskegon, Michigan 49441",0.0,1.0,1,0,1,0,Michigan,False,True
125,The Black Market Cannabis Company ,2 reviews,5.0,(231) 215-1595,Adult-Use Retail: AU-R-001030,"1839 Peck St Suite B, MUSKEGON, Michigan 49441",0.0,1.0,1,1,0,0,Michigan,False,True
126,JARS Cannabis - Muskegon ,111 reviews,4.9,(231) 900-1500,Adult-Use Retail: AU-R-000751,"1801 Peck St Muskegon, Muskegon, Michigan 49441",0.0,1.0,1,0,1,0,Michigan,False,True
127,Beyond Hello - Bloomington ,2 reviews,3.0,(309) 590-3005,Adult-Use Retail: AUDO.000085 ,"1515 N Veterans Pkwy, Bloomington, Illinois 61704",0.0,1.0,1,1,0,0,Illinois,False,True
