State,License Number,License Type,Company Name,DBA,License Status,Address 1,Address 2,City,Zip Code,Issue Date,Effective Date,Expire Date,License Term,License Type 2,Owner/Contact,Structure,Email,Phone,Website,,,,,,,,,
AK,10163,Retail Marijuana Store,SUSAN J BURRELL,,Active-Operating,307 N. Nordic Dr.,,Petersburg,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,10173,Retail Marijuana Store,"Herbal Outfitters, LLC",,Active-Operating,165 Fairbanks Drive,Lower Floor,Valdez,,3/30/22,3/30/22,8/31/23,,,,,,,,,,,,,,,,
AK,10190,Retail Marijuana Store,"MIDTOWN ROOTS, LLC",,Active-Operating,360 E. INTERNATIONAL AIRPORT RD.,2A,Anchorage,,7/21/22,7/21/22,8/31/23,,,,,,,,,,,,,,,,
AK,10200,Retail Marijuana Store,SARINEE NUAMNUI; KELSEY J MARTINSEN,,Active-Operating,225 South Front Street,,Wrangell,,12/9/21,12/9/21,8/31/23,,,,,,,,,,,,,,,,
AK,10220,Retail Marijuana Store,WEED DUDES INCORPORATED,,Active-Operating,1321 Sawmill Creek Road,Suite #J & K,Sitka,,10/8/21,10/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,10236,Retail Marijuana Store,"Sima Enterprises, LLC",,Active-Operating,"521 W. Tudor Road, Unit 201",,Anchorage,Zip Code,1/11/22,1/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,10245,Retail Marijuana Store,"AK SLOW BURN, LLC",,Active-Operating,2042 E. 3rd Ave,Suite A,Anchorage,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,10252,Retail Marijuana Store,"Popeyes Emporium II, LLC",,Active-Operating,3231 Spenard Road,Unit 1,Anchorage,,12/14/21,7/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,10254,Retail Marijuana Store,"ClaSim, LLC",,Active-Operating,"217 E. 4th Avenue, Suite D",,Anchorage,,1/25/22,1/25/22,8/31/23,,,,,,,,,,,,,,,,
AK,10267,Retail Marijuana Store,AM Frontier Inc,,Active-Operating,3902 Spenard Road,,ANCHORAGE,,10/8/21,10/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,10273,Retail Marijuana Store,Croy's Enterprises LLC,,Active-Operating,36130 Pine Street,,Soldotna,,9/22/21,9/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,10278,Retail Marijuana Store,GoodSinse LLC,,Active-Operating,2604 Davis rd.,,Fairbanks ,,1/11/22,1/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,10302,Retail Marijuana Store,"BAM Greeneries, Inc.",,Active-Operating,3105 Minnesota Drive,Upper Level,Anchorage,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,10306,Retail Marijuana Store,"Dankorage, LLC",,Active-Operating,2812 Spenard Road,,Anchorage,,9/17/21,9/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,10316,Retail Marijuana Store,"SILVERTHORN INVESTMENT GROUP, LLC",,Active-Operating,2876 N. Rex Road,,Houston,,9/17/21,9/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,10577,Retail Marijuana Store,"Alaskan Leaf, LLC",,Active-Operating,"1211 West 36th Avenue, Suite A",,Anchorage,,11/5/21,11/5/21,8/31/23,,,,,,,,,,,,,,,,
AK,10589,Retail Marijuana Store,"Natures Releaf, LLC",,Active-Operating,503 7th. Avenue,,Fairbanks,,10/26/21,10/26/21,8/31/23,,,,,,,,,,,,,,,,
AK,10590,Retail Marijuana Store,AYME S ZANTUA; KANOE M ZANTUA,,Active-Operating,9735 Mud Bay Rd,,Ketchikan,,11/18/21,11/18/21,8/31/23,,,,,,,,,,,,,,,,
AK,10646,Retail Marijuana Store,FERGUSON AND SMITH ENTERPRISES INC.,,Active-Operating,610 C St. #A7,,Anchorage,,12/22/21,12/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,10648,Retail Marijuana Store,"Eden Management Group, LLC",,Active-Operating,6511 Arctic Spur Rd.,,Anchorage,,9/17/21,9/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,10800,Retail Marijuana Store,The Fireweed Factory LLC,,Active-Operating,237 Front Street,,Juneau,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,10831,Retail Marijuana Store,"High Bush Buds, Inc.",,Active-Operating,"36312 Irons Ave., Suite 2",,Soldotna,,9/22/21,9/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,10837,Retail Marijuana Store,"Hillside Natural Wellness, LLC",,Active-Operating,8639 Toloff St.,Suite 1,Anchorage,,2/16/22,2/16/22,8/31/23,,,,,,,,,,,,,,,,
AK,10844,Retail Marijuana Store,"Green Elephant, LLC",,Active-Operating,101 Mill St.,Suite B,Juneau,,11/23/21,11/23/21,8/31/23,,,,,,,,,,,,,,,,
AK,10866,Retail Marijuana Store,"AK Frost, LLC",,Active-Operating,"5200 A Street, Suite 102",,Anchorage,,2/11/22,2/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,10869,Retail Marijuana Store,"The Grass Station, LLC",,Active-Operating,1326 Cushman St.,,Fairbanks,,1/11/22,1/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,10873,Retail Marijuana Store,"E & M Holdings, LLC",,Active-Operating,127 Stedman St.,,Ketchikan,,11/15/21,11/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,10883,Retail Marijuana Store,JLG LLC,,Active-Operating,726 Water Street,,Ketchikan,,7/14/21,7/14/21,8/31/23,,,,,,,,,,,,,,,,
AK,10890,Retail Marijuana Store,T.M.T LLC,,Active-Operating,735 W. 4th Ave.,,Anchorage,,10/15/21,10/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,10901,Retail Marijuana Store,The High Expedition Company,,Active-Operating,13465 E Main St.,,Talkeetna,,1/26/22,1/26/22,8/31/23,,,,,,,,,,,,,,,,
AK,11000,Retail Marijuana Store,"Arctic Greenery, LLC",,Active-Operating,1725 Richardson Highway,Suite 101,North Pole,,2/3/22,2/3/22,8/31/23,,,,,,,,,,,,,,,,
AK,11031,Retail Marijuana Store,Kerby's Corporation,,Active-Operating,2301 South Knik-Goose Bay Rd #1B,,Wasilla,,1/26/22,1/26/22,8/31/23,,,,,,,,,,,,,,,,
AK,11050,Retail Marijuana Store,Houston Grass Station LLC,,Active-Operating,15231 W Parks Hwy,,Houston,,3/30/22,3/30/22,8/31/23,,,,,,,,,,,,,,,,
AK,11053,Retail Marijuana Store,"True Dank, LLC",,Active-Operating,1550 Cushman,Suite A,Fairbanks,,11/23/21,11/23/21,8/31/23,,,,,,,,,,,,,,,,
AK,11119,Retail Marijuana Store,"Rural Retail Northwest, LLC",,Active-Operating,303-C West E. Street,,Nome,,5/4/22,5/4/22,8/31/23,,,,,,,,,,,,,,,,
AK,11121,Retail Marijuana Store,"bad gramm3r, LLC",,Active-Operating,1150 N Helen Lane,,Wasilla,,11/18/21,11/18/21,8/31/23,,,,,,,,,,,,,,,,
AK,11140,Retail Marijuana Store,"FAT TOPS, LLC.",,Active-Operating,36380 Murray Lane,,Soldotna,,11/29/21,11/29/21,8/31/23,,,,,,,,,,,,,,,,
AK,11198,Retail Marijuana Store,"OHWWHO, LLC",,Active-Operating,3025 Parks Hwy,Suite 1,Fairbanks,,11/15/21,11/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,11303,Retail Marijuana Store,YNY Investment LLC,,Active-Operating,2429 E. 88th Ave,,Anchorage,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,11382,Retail Marijuana Store,Denali's Cannabis Cache LLC,,Active-Operating,M.M. 238.9 George Parks HWY.,Suite 420,Denali National Park,,12/17/21,12/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,11411,Retail Marijuana Store,"Denali Dispensaries, LLC",,Active-Operating,225 E 5th Ave,,Anchorage,,10/1/21,10/1/21,8/31/23,,,,,,,,,,,,,,,,
AK,11509,Retail Marijuana Store,CHASE R GRIFFITH,,Active-Operating,32630 June Dr.,,Sterling,,12/22/21,12/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,11547,Retail Marijuana Store,JOSEPH D SHIMEK; LILY A SHIMEK,,Active-Operating,3307 Spenard Road,,Anchorage,,10/26/21,10/26/21,8/31/23,,,,,,,,,,,,,,,,
AK,11614,Retail Marijuana Store,"Alaska Joint Ventures, LLC",,Active-Operating,"7801 Schoon St, Unit F",,Anchorage,,10/8/21,10/8/21,8/31/22,,,,,,,,,,,,,,,,
AK,11638,Retail Marijuana Store,Broken Dirt LLC,,Active-Operating,"9900 Old Seward Highway, #4",,Anchorage,,12/22/21,12/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,11731,Retail Marijuana Store,"AK SLOW BURN, LLC",,Active-Operating,1551 E. TUDOR RD,,Anchorage,,2/16/22,2/16/22,8/31/23,,,,,,,,,,,,,,,,
AK,11927,Retail Marijuana Store,"Green Life Supply, LLC",,Active-Operating,511 30th ave.,,Fairbanks,,12/15/20,12/15/20,8/31/23,,,,,,,,,,,,,,,,
AK,11966,Retail Marijuana Store,"Great Northern Retail Stores, Inc.",,Active-Operating,541 W. 4th Ave.,,Anchorage,,2/23/22,2/23/22,8/31/23,,,,,,,,,,,,,,,,
AK,12023,Retail Marijuana Store,Rosebuds LLC,,Active-Operating,3361 W Machen Rd,Retail Space,Wasilla,,1/26/22,1/26/22,8/31/23,,,,,,,,,,,,,,,,
AK,12316,Retail Marijuana Store,"ANCHORAGE BOWL, LLC.",,Active-Operating,4000 Spenard Road,,Anchorage,,11/10/20,11/10/20,8/31/23,,,,,,,,,,,,,,,,
AK,12325,Retail Marijuana Store,Good LLC,,Active-Operating,356 Old Steese Hwy,,Fairbanks,,10/26/21,10/26/21,8/31/23,,,,,,,,,,,,,,,,
AK,12437,Retail Marijuana Store,"Alaska Cannabis Exchange, LLC",,Active-Operating,2906 SPENARD ROAD,,ANCHORAGE,,11/15/21,11/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,12635,Retail Marijuana Store,Kerby's Corporation,,Active-Operating,13856 N. GLENN HWY,(Northern Portion of the Building),SUTTON,,2/28/22,2/28/22,8/31/23,,,,,,,,,,,,,,,,
AK,12768,Retail Marijuana Store,"Axion Enterprises, LLC",,Active-Operating,726 E. 15th AVE,Suite 1,Anchorage,,9/17/21,9/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,12866,Retail Marijuana Store,"Eden Management Group, LLC",,Active-Operating,1213 Ocean Drive,Unit 2,Homer,,10/1/21,10/1/21,8/31/23,,,,,,,,,,,,,,,,
AK,12956,Retail Marijuana Store,"The Grass Station, LLC",,Active-Operating,665 Rainbow Drive,,Fairbanks,,11/18/21,11/18/21,8/31/23,,,,,,,,,,,,,,,,
AK,13119,Retail Marijuana Store,Rebel Roots LLC,,Active-Operating,2575 Goldstream Road,,Fairbanks,,10/8/21,10/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,13217,Retail Marijuana Store,"ForgetMeNot Enterprises, Inc.",,Active-Operating,8505 Old Dairy Road,Suite 1,Juneau,,4/27/22,4/27/22,8/31/23,,,,,,,,,,,,,,,,
AK,13279,Retail Marijuana Store,The Mason Jar LLC,,Active-Operating,2771 sherwood Lane,Unit E,Juneau,,9/17/21,9/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,13382,Retail Marijuana Store,Cook Inlet Cannabis Co.,,Active-Operating,10767 KENAI SPUR HWY,SUITE D,KENAI,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,14083,Retail Marijuana Store,Denali Fire Green LLC,,Active-Operating,6209 Mike St.,Suite 2A,Anchorage,,12/9/21,12/9/21,8/31/23,,,,,,,,,,,,,,,,
AK,14200,Retail Marijuana Store,"MCC Ventures, LLC",,Active-Operating,3550 S. Old Glenn Highway,,Palmer,,7/22/22,7/22/22,8/31/23,,,,,,,,,,,,,,,,
AK,14359,Retail Marijuana Store,"Tip Top, LLC",,Active-Operating,233 E. 5th Avenue,Suite 1,Anchorage,,1/11/22,1/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,15016,Retail Marijuana Store,Shotnine LLC,,Active-Operating,1133 E 68th Ave,,Anchorage,,1/28/20,6/3/22,8/31/23,,,,,,,,,,,,,,,,
AK,15019,Retail Marijuana Store,"B2H, LLC",,Active-Operating,341-d Boniface PKWY,,Anchorage,,9/17/21,9/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,15061,Retail Marijuana Store,WINTER GREENS LLC,,Active-Operating,75 beach road,,haines,,3/23/22,3/23/22,8/31/23,,,,,,,,,,,,,,,,
AK,15246,Retail Marijuana Store,"Borealis Mountain, Inc.",,Active-Operating,5310 COMMERCIAL BLVD,2B,Juneau,,11/23/21,11/23/21,8/31/23,,,,,,,,,,,,,,,,
AK,15393,Retail Marijuana Store,Majestic Gardens llc,,Active-Operating,12656 Kenai Spur Hwy,,Kenai,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,15788,Retail Marijuana Store,"L & J Ventures, Inc.",,Active-Operating,266 S. McCallister Dr.,Suite 1,Wasilla,,10/26/21,10/26/21,8/31/23,,,,,,,,,,,,,,,,
AK,15814,Retail Marijuana Store,"Tanana Herb Company, LLC",,Active-Operating,1200 Well Street,,Fairbanks,,4/13/22,4/13/22,8/31/23,,,,,,,,,,,,,,,,
AK,15916,Retail Marijuana Store,"KBR Retail, LLC.",,Active-Operating,42106 Kalifornsky Beach Road,(Log cabin on SE portion nearest highway),Soldotna,,4/15/22,4/15/22,8/31/23,,,,,,,,,,,,,,,,
AK,16184,Retail Marijuana Store,Thee Treasure Chest llc.,,Active-Operating,1000 Water St.,,Craig,,10/5/20,10/5/20,8/31/23,,,,,,,,,,,,,,,,
AK,16213,Retail Marijuana Store,Alaskan Kush Company LLC,,Active-Operating,159 S Franklin St,,Juneau,,3/11/22,3/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,16529,Retail Marijuana Store,GOOD BUDS LLC,,Active-Operating,11770 Seward highway Suite 2,,Seward,,3/3/22,3/3/22,8/31/23,,,,,,,,,,,,,,,,
AK,16610,Retail Marijuana Store,"Great Northern Retail Stores, Inc.",,Active-Operating,1901 W. Dimond Blvd.,,Anchorage,,2/23/22,2/23/22,8/31/23,,,,,,,,,,,,,,,,
AK,16915,Retail Marijuana Store,"Bristol Bay Bud Company, LLC",,Active-Operating,233 Airport Road,,Dillingham,,4/27/22,4/27/22,8/31/23,,,,,,,,,,,,,,,,
AK,17068,Retail Marijuana Store,OutPost LLC,,Active-Operating,1044 S. Old Glenn Hwy (Cabin),,Palmer,,11/22/19,11/22/19,8/31/23,,,,,,,,,,,,,,,,
AK,17077,Retail Marijuana Store,"The Grass Station, LLC",,Active-Operating,"223 Front Street, Suite B.",,Nome,,12/17/21,12/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,17204,Retail Marijuana Store,"WEST MADE, LLC",,Active-Operating,50110 Sterling Hwy,,Soldotna,,10/8/21,10/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,17250,Retail Marijuana Store,"Pipe and Leaf, LLC",,Active-Operating,3546 Airport Way,,Fairbanks,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,17480,Retail Marijuana Store,"Tundra Herb Company, LLC",,Active-Operating,520 W. 6th Ave,Suite A,Anchorage,,11/29/21,11/29/21,8/31/23,,,,,,,,,,,,,,,,
AK,17758,Retail Marijuana Store,The Tufted Puffin LLC,,Active-Operating,216 4th Ave. Unit 2,,Seward,,11/15/21,11/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,17764,Retail Marijuana Store,Alaskan Grown Products LLC,,Active-Operating,585A 3rd Ave.,,Kotzebue,,3/29/22,3/29/22,8/31/23,,,,,,,,,,,,,,,,
AK,17808,Retail Marijuana Store,KRC LLC,,Active-Operating,14429 Kenai Spur Highway,,Kenai,,10/26/21,10/26/21,8/31/23,,,,,,,,,,,,,,,,
AK,18117,Retail Marijuana Store,"2KT, Inc.",,Active-Operating,8857 Jewel Lake Road,,Anchorage,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,18545,Retail Marijuana Store,Nome Grown LLC,,Active-Operating,605 W. 2nd. Ave.,,NOME,,10/8/21,10/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,18702,Retail Marijuana Store,Tundra Farms 2 Inc.,,Active-Operating,1210 E 70th Ave.,#1,Anchorage,,8/30/19,3/9/22,8/31/23,,,,,,,,,,,,,,,,
AK,18735,Retail Marijuana Store,"Alaskabuds, LLC",,Active-Operating,"660 Third Ave, Suite B",,Bethel,,12/30/21,12/30/21,8/31/23,,,,,,,,,,,,,,,,
AK,18929,Retail Marijuana Store,SEEDS & STEMS LLC,,Active-Operating,"43280 Kenai Spur Highway, Unit E",,Nikiski,,1/25/22,1/25/22,8/31/23,,,,,,,,,,,,,,,,
AK,19178,Retail Marijuana Store,"Higher by Bad Gramm3r, LLC",,Active-Operating,1204 N. Hyer Spur Road,,Palmer,,10/26/21,10/26/21,8/31/23,,,,,,,,,,,,,,,,
AK,19277,Retail Marijuana Store,The Herbal Cache LLC,,Active-Operating,158 Holmgren Place Suite 101,,Girdwood,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,19300,Retail Marijuana Store,Croy's Enterprises LLC,,Active-Operating,139 Warehouse Drive,Suite B,Soldotna,,9/22/21,9/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,19658,Retail Marijuana Store,ANDREW G SABLON,,Active-Operating,11676 west rezanof drive,,Kodiak,,3/30/22,3/30/22,8/31/23,,,,,,,,,,,,,,,,
AK,19834,Retail Marijuana Store,MICHAEL JAMES WELCH,,Active-Operating,840 KALIFORNSKY BEACH RD,SUITE B,SOLDOTNA,,11/23/21,11/23/21,8/31/23,,,,,,,,,,,,,,,,
AK,19898,Retail Marijuana Store,"AKO Farms, LLC",,Active-Operating,1210 Beardslee Way,,Sitka,,9/22/21,9/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,20113,Retail Marijuana Store,"High Rise, LLC",,Active-Operating,104 Center Ave.,Suite 102,Kodiak,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,20151,Retail Marijuana Store,canna get happy llc,,Active-Operating,810 E. 6th Avenue,,Anchorage,,2/14/22,2/14/22,8/31/23,,,,,,,,,,,,,,,,
AK,20221,Retail Marijuana Store,NOMO Gold LLC,,Active-Operating,Milepost 248.5 Parks Highway,Suite A,Healy,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,20366,Retail Marijuana Store,"GREAT NORTHERN RETAIL STORES, INC.",,Active-Operating,2600 E. Tudor Rd.,,Anchorage,,10/5/21,10/12/21,8/31/23,,,,,,,,,,,,,,,,
AK,20561,Retail Marijuana Store,Badger Buds LLC,,Active-Operating,2008 Levado Ave. Unit A,,North Pole,,3/10/22,3/10/22,8/31/23,,,,,,,,,,,,,,,,
AK,20827,Retail Marijuana Store,"FSE, Inc.",,Active-Operating,506 Merhar Ave,,Fairbanks,,1/25/22,1/25/22,8/31/23,,,,,,,,,,,,,,,,
AK,20865,Retail Marijuana Store,"Eden Management Group, LLC",,Active-Operating,360 Boniface Pkwy,A5,Anchorage,,9/22/21,9/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,20983,Retail Marijuana Store,King Street Management Inc,,Active-Operating,"8430 Laviento Drive, Suite A",,Anchorage,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,21069,Retail Marijuana Store,"Three Sisters, LLC",,Active-Operating,158 Alimaq Dr,,Kodiak,,2/3/22,2/3/22,8/31/23,,,,,,,,,,,,,,,,
AK,21170,Retail Marijuana Store,"L&A Cannabis, LLC",,Active-Operating,543 Bison St,,Kotzebue,,9/22/21,9/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,21227,Retail Marijuana Store,"Essenkay, LLC",,Active-Operating,781 3rd Avenue,,Bethel,,10/8/21,10/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,21417,Retail Marijuana Store,"Cosmic SeaWeed, LLC",,Active-Operating,261 East Bunnell Ave,,Homer,,2/3/22,2/3/22,8/31/23,,,,,,,,,,,,,,,,
AK,21619,Retail Marijuana Store,"Laughing Salmon, LLC",,Active-Operating,173 N Rosie Circle #1,,Wasilla,,10/25/21,10/25/21,8/31/23,,,,,,,,,,,,,,,,
AK,21724,Retail Marijuana Store,"AKGLD2, LLC",,Active-Operating,407 E Northern Lights Blvd,1A,Anchorage,,10/15/21,10/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,22091,Retail Marijuana Store,Green Raven LLC,,Active-Operating,5320 W Parks Hwy,,Wasilla,,10/8/21,10/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,22150,Retail Marijuana Store,Top Shelf Herbs Of Alaska LLC,,Active-Operating,901 Photo Ave Suite A,,Anchorage,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,22294,Retail Marijuana Store,Alaskan Grown Products LLC,,Active-Operating,14477 Sterling Highway,,Ninilchik,,3/29/22,3/29/22,8/31/23,,,,,,,,,,,,,,,,
AK,22297,Retail Marijuana Store,GLEN KROSHUS; BARBARA KROSHUS,,Active-Operating,2158 Old Steese Hwy North,,Fairbanks,,1/11/22,1/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,22327,Retail Marijuana Store,canna get happy llc,,Active-Operating,2321 E Palmer Wasilla Hwy,,Wasilla,,11/15/21,11/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,22713,Retail Marijuana Store,T&D RESOURCES LLC,,Active-Operating,"910 W. International Airport Road, Suite B",,Anchorage,,11/15/21,11/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,22716,Retail Marijuana Store,"BABY BULL, LLC.",,Active-Operating,2001 E. 5TH AVENUE,,Anchorage,,12/17/21,12/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,22809,Retail Marijuana Store,Airport Way Trade Center LLC,,Active-Operating,3598 Airport Way,,Fairbanks,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,23122,Retail Marijuana Store,"Alaskan Pipe Dreams, LLC",,Active-Operating,5675 E Blue Lupine Dr,,Wasilla,,10/25/21,10/25/21,8/31/23,,,,,,,,,,,,,,,,
AK,23455,Retail Marijuana Store,"Hatcher's Enterprises, LLC",,Active-Operating,9300 N. Palmer Fishhook Rd,Building #2,Palmer,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,23468,Retail Marijuana Store,SHFT LLC,,Active-Operating,301 E Dimond Blvd,Suite 1A,Anchorage,,2/4/22,2/4/22,8/31/23,,,,,,,,,,,,,,,,
AK,23694,Retail Marijuana Store,"Greenstar, Inc.",,Active-Operating,40593 Kalifornsky Beach Rd,Suite B,Kenai,,2/18/22,2/18/22,8/31/23,,,,,,,,,,,,,,,,
AK,23777,Retail Marijuana Store,"7107 Ventures, LLC",,Active-Operating,16021 Sterling Highway,Building #2,Cooper Landing,,10/15/21,10/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,23810,Retail Marijuana Store,"FAT TOPS, LLC.",,Active-Operating,35975 Kenai Spur Hwy.,,Soldotna,,1/12/22,1/12/22,8/31/23,,,,,,,,,,,,,,,,
AK,23813,Retail Marijuana Store,"Barrow's Retail, LLC",,Active-Operating,4326 Nathaniel Olemaun Jr. Boulevard,,Utqiagvik,,3/29/22,3/29/22,8/31/23,,,,,,,,,,,,,,,,
AK,23821,Retail Marijuana Store,"Catalyst Retail, LLC",,Active-Operating,317 Muldoon Rd.,,Anchorage,,12/22/21,12/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,23934,Retail Marijuana Store,"Midnight Sun Distributors, LLC",,Active-Operating,28011 Old Parks Highway,Suite 1,Willow,,2/9/22,2/9/22,8/31/23,,,,,,,,,,,,,,,,
AK,23966,Retail Marijuana Store,"BLUE MOUNTAIN GREEN, LLC",,Active-Operating,"2364 Badger Rd, Unit C",,North Pole,,1/11/22,1/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,24049,Retail Marijuana Store,"Country Cannabis, LLC",,Active-Operating,2323 South Trunk Road,,Palmer,,10/25/21,10/25/21,8/31/23,,,,,,,,,,,,,,,,
AK,24097,Retail Marijuana Store,Alaska Harvest Company LLC,,Active-Operating,43837 Kalifornsky Beach RD,,Soldotna,,9/22/21,9/22/21,8/31/23,,,,,,,,,,,,,,,,
AK,24238,Retail Marijuana Store,Caribbean Dreams LLC,,Active-Operating,101 E International Airport Rd,,Anchorage,,12/9/21,12/9/21,8/31/23,,,,,,,,,,,,,,,,
AK,24383,Retail Marijuana Store,"Primo Farms North, LLC",,Active-Operating,12870 Old Seward Highway,Space 105,Anchorage,,2/18/22,2/18/22,8/31/23,,,,,,,,,,,,,,,,
AK,24870,Retail Marijuana Store,Trichs LLC,,Active-Operating,3807 Unit A West Machen Road,,Wasilla,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
